Date,Latitude Start,Longitude Start,Latitude Mid,Longitude Mid,Latitude Stop,Longitude Stop,Depth (m),SVY,Parameters,EOV Groups,source_file,program,mission,yr,platform,frequency_label
2016-04-29,36.796825,-122.15065,36.802768,-122.135212,36.808712,-122.119774,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-04-29,36.809593,-122.119026,36.815697,-122.104046,36.8218,-122.089066,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-04-29,36.8223,-122.087059,36.828001,-122.071254,36.833702,-122.05545,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-04-29,36.833702,-122.05545,36.837822,-122.039127,36.841942,-122.022804,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-04-29,36.842587,-122.020424,36.846991,-122.004361,36.851395,-121.988297,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-04-29,36.851395,-121.988297,36.8668,-121.981217,36.882206,-121.974136,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-04-30,37.190605,-122.537567,37.20033,-122.548828,37.210056,-122.560089,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-04-30,37.487648,-122.664993,37.499836,-122.664371,37.512024,-122.66375,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-04-30,37.917774,-123.012207,37.9242,-123.027687,37.930626,-123.043167,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-01,38.830826,-123.845345,38.831028,-123.828384,38.83123,-123.811424,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-02,38.705452,-123.842354,38.693041,-123.838234,38.68063,-123.834114,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-02,38.262039,-123.131706,38.252609,-123.119693,38.243179,-123.107681,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-03,38.028263,-123.321548,38.027456,-123.310326,38.026649,-123.299103,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-03,38.013412,-123.301956,38.004196,-123.315113,37.99498,-123.32827,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-04,37.499382,-122.800049,37.492142,-122.785897,37.484901,-122.771744,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-05,37.17429,-122.576874,37.16107,-122.575554,37.14785,-122.574234,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-05,37.145897,-122.574188,37.132837,-122.574162,37.119778,-122.574135,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-05,37.117416,-122.574203,37.100128,-122.575172,37.08284,-122.576141,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-05,37.071916,-122.383027,37.059094,-122.387982,37.046272,-122.392937,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-05,37.045391,-122.393326,37.033102,-122.399056,37.020813,-122.404785,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-05,37.019024,-122.405716,37.001019,-122.415367,36.983013,-122.425018,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-05,36.97897,-122.412437,36.9809,-122.395477,36.98283,-122.378517,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-05,36.995735,-122.381622,36.993944,-122.365112,36.992153,-122.348602,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-05,36.991531,-122.346275,36.992199,-122.329029,36.992867,-122.311783,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-06,35.605019,-121.498207,35.615389,-121.48724,35.625759,-121.476273,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-07,34.488937,-120.881378,34.478057,-120.871685,34.467178,-120.861992,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-07,34.465286,-120.860222,34.459477,-120.845051,34.453667,-120.82988,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-07,34.43475,-120.761246,34.431114,-120.746174,34.427479,-120.731102,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-07,34.419636,-120.694954,34.413201,-120.670273,34.406765,-120.645592,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-07,34.341545000000004,-120.360664,34.33764,-120.346024,34.333736,-120.331383,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-08,33.839077,-120.580254,33.830089,-120.567917,33.821102,-120.55558,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2016-05-08,33.816174,-120.551903,33.807482,-120.539581,33.79879,-120.52726,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
